Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053406,0.33620689655172414,0.2413793103448276,0.4482758620689655,0.06896551724137931
E00053407,0.0851063829787234,0.05673758865248227,0.2323943661971831,0.014184397163120567
E00053408,0.14583333333333334,0.006944444444444444,0.3402777777777778,0.027586206896551724
E00053409,0.15,0.05714285714285714,0.34285714285714286,0.021897810218978103
E00053410,0.1746031746031746,0.046875,0.1984126984126984,0.03968253968253968
E00053411,0.115,0.1691542288557214,0.32,0.08
E00053412,0.183206106870229,0.12213740458015267,0.36923076923076925,0.05343511450381679
E00053414,0.16355140186915887,0.06074766355140187,0.3130841121495327,0.014018691588785047
E00053415,0.12222222222222222,0.18333333333333332,0.4666666666666667,0.022222222222222223
E00053416,0.10526315789473684,0.061068702290076333,0.24812030075187969,0.05263157894736842
E00053417,0.23780487804878048,0.10303030303030303,0.36585365853658536,0.05454545454545454
E00053418,0.11351351351351352,0.02702702702702703,0.2756756756756757,0.026881720430107527
E00053419,0.46774193548387094,0.13709677419354838,0.4274193548387097,0.06451612903225806
E00053420,0.1694915254237288,0.0847457627118644,0.3220338983050847,0.0423728813559322
E00053421,0.3020833333333333,0.13541666666666666,0.4,0.07291666666666667
E00053422,0.20408163265306123,0.17708333333333334,0.47368421052631576,0.1134020618556701
E00053424,0.36283185840707965,0.2831858407079646,0.4642857142857143,0.11504424778761062
E00053425,0.18543046357615894,0.12582781456953643,0.3509933774834437,0.09933774834437085
E00053426,0.28776978417266186,0.2302158273381295,0.3597122302158273,0.17985611510791366
E00053427,0.20245398773006135,0.17073170731707318,0.3231707317073171,0.04878048780487805
E00053428,0.19230769230769232,0.1346153846153846,0.3557692307692308,0.10576923076923077
E00053430,0.4050632911392405,0.0949367088607595,0.45569620253164556,0.2848101265822785
E00053431,0.2246376811594203,0.07246376811594203,0.3188405797101449,0.09420289855072464
E00053432,0.35658914728682173,0.171875,0.4186046511627907,0.11904761904761904
E00053434,0.07462686567164178,0.014705882352941176,0.25925925925925924,0.044444444444444446
E00053435,0.17073170731707318,0.06790123456790123,0.23170731707317074,0.029940119760479042
E00053436,0.29411764705882354,0.1694915254237288,0.4083333333333333,0.12295081967213115
E00053437,0.1320754716981132,0.0625,0.22012578616352202,0.006289308176100629
E00053438,0.14864864864864866,0.060810810810810814,0.12837837837837837,0.04054054054054054
